Timestamp,What is your gender ?,What culture do you most identify with ?,What is your age ?,How romantic do you consider this situation ?,How romantic do you consider this situation ?,How romantic do you consider this situation ?,How romantic do you consider this situation ?,How romantic do you consider this situation ?,How romantic do you consider this situation ?,How romantic do you consider this situation ?,How romantic do you consider this situation ?,How romantic do you consider this situation ?,How romantic do you consider this situation ?,How romantic do you consider this situation ?,Please tell us if you have something on your mind that you want to share with us:
1/3/2020 16:16:29,Male,Western Culture,21-25,3,2,4,4,1,4,5,5,4,2,3,
1/3/2020 16:23:07,Male,Indian culture,26-30,1,1,2,1,1,1,2,4,4,1,1,please update this list of gender sterotypes. 
1/3/2020 16:26:18,Male,Indian culture,21-25,3,3,4,3,1,4,3,2,4,2,2,
1/3/2020 16:27:34,Female,Western Culture,16-20,2,2,3,4,1,4,3,3,2,1,2,
1/3/2020 16:28:57,Other,Western Culture,31-35,1,4,3,5,1,5,4,5,5,3,1,this was so straight I forgot how to turn left or right for 20 minutes after watching
1/3/2020 16:37:13,Female,Arab culture,26-30,4,1,5,4,1,4,4,2,5,5,1,
1/3/2020 16:50:21,Female,Indian culture,26-30,3,2,4,5,1,5,5,5,5,3,4,Romance is more of an emotional state than physical
1/3/2020 17:31:39,Female,Western Culture,16-20,1,1,5,4,1,3,5,2,4,2,2,Gay romance exists :)
1/3/2020 18:16:37,Female,Western Culture,16-20,4,2,5,4,1,1,5,4,5,2,2,"I found the anime and the Korean drama pretty violent whereas they wanted to makes it romantic. The guys are mean and manipulative, those are toxic relationship according to me. I'm confused"
1/3/2020 18:26:56,Male,Western Culture,26-30,1,1,2,3,1,2,4,2,5,1,1,I feel biased in rating clip when I seen before the whole movie and know the relationship between the protagonists... also why in your scenes selection is there no non-heterosexual romances?
1/3/2020 18:53:05,Female,Western Culture,21-25,3,4,3,2,1,4,4,2,4,1,1,I have the feeling that the survey was quite bias..
1/3/2020 18:59:33,Female,Western Culture,21-25,5,5,1,3,1,5,2,5,5,5,4,
1/3/2020 20:42:49,Female,Western Culture,16-20,3,3,4,2,1,2,2,3,4,3,2,
1/3/2020 20:45:38,Female,Western Culture,21-25,5,3,4,3,1,4,4,5,4,1,2,
1/3/2020 20:52:28,Female,Western Culture,21-25,2,1,4,1,1,2,4,4,5,3,4,
1/3/2020 23:03:59,Female,Western Culture,16-20,2,1,4,5,1,2,5,5,3,2,4,No consent = not romantic 
1/3/2020 23:05:56,Female,Western Culture,16-20,2,1,4,4,1,5,2,4,2,2,4,
1/3/2020 23:23:37,Female,Hispanic / Latino culture,31-35,3,1,3,4,1,3,5,1,4,4,3,
1/4/2020 0:07:20,Female,Western Culture,26-30,2,1,4,3,1,2,4,4,4,2,2,
1/4/2020 0:19:55,Female,Hispanic / Latino culture,16-20,3,1,5,3,1,5,4,5,5,2,3,
1/4/2020 0:20:13,Male,Hispanic / Latino culture,26-30,3,3,5,5,1,4,4,5,4,3,4,Nice exercise. Hope you take the sounds into account :) 
1/4/2020 0:36:53,Female,Western Culture,16-20,2,1,4,3,1,2,4,4,4,2,3,
1/4/2020 12:08:35,Female,Western Culture,16-20,2,2,4,4,1,4,3,4,4,3,3,Romantic for me is not always dumb/naive (with all the music etc..). It's a pity that there are only a few really romantic films. 
1/4/2020 17:39:24,Male,Indian culture,21-25,2,2,5,3,1,1,5,4,5,1,1,"Romance in some media like James Bond movies, Game of Thrones, sleeping beauty, etc should come with a warning that such unhealthy romance behaviours should not be replicated in real life."
1/4/2020 18:19:48,Male,Western Culture,21-25,3,2,5,3,1,2,5,4,4,1,1,I'm triggered
1/4/2020 18:41:20,Female,Western Culture,21-25,1,2,3,4,1,1,4,5,4,3,4,
1/4/2020 19:04:26,Male,Indian culture,21-25,2,2,4,4,1,3,5,3,4,2,1,
1/4/2020 19:07:31,Female,Western Culture,21-25,4,2,4,1,1,3,4,3,2,3,1,
1/4/2020 19:10:22,Male,Western Culture,21-25,2,1,3,2,1,1,5,3,2,1,1,
1/4/2020 19:18:15,Male,Indian culture,26-30,1,1,4,2,1,2,3,2,4,3,2,
1/4/2020 19:19:01,Male,Hispanic / Latino culture,21-25,2,1,5,2,1,2,4,2,5,3,4,"Difficult to choose culture it might need a little more nuances (south asian, caribean, and a few criterias for ""africa"")
And it's a bit disapointing to see only heteronormative couples represented..."
1/4/2020 19:23:13,Male,Indian culture,21-25,1,1,3,3,1,2,4,3,4,4,1,
1/4/2020 19:27:26,Female,Western Culture,21-25,2,1,5,3,1,3,5,5,5,1,2,
1/4/2020 19:28:04,Female,Western Culture,26-30,1,1,5,3,1,4,5,5,5,1,1,Consent is romantic. Lack of consent is not.
1/4/2020 19:36:57,Female,Indian culture,26-30,1,1,3,3,1,4,5,5,4,1,1,
1/4/2020 19:45:54,Female,Western Culture,21-25,2,2,5,4,1,3,5,3,4,3,2,
1/4/2020 19:57:35,Female,Indian culture,41-45,4,2,4,4,1,5,5,4,3,3,3,"Define romance, everyone has a different meaning to it"
1/4/2020 20:25:41,Prefer not to say,Western Culture,16-20,1,2,4,2,1,3,2,2,3,3,1,
1/4/2020 21:05:09,Female,African culture,16-20,2,1,5,4,1,4,5,4,4,2,2,
1/4/2020 21:23:12,Male,Western Culture,31-35,2,1,3,3,1,1,5,4,4,3,1,
1/4/2020 22:44:43,Female,Arab culture,16-20,2,4,3,4,1,5,5,4,5,5,2,
1/4/2020 22:46:17,Other,Western Culture,21-25,2,1,5,2,1,3,5,4,5,1,1,"best romantic scene is Jake proposal to amy in B99. also more seriously, I knew some movies and TV show, so it kind of influenced my judgement compare to those where I had only the clip. "
1/4/2020 22:46:58,Female,Western Culture,26-30,1,1,1,1,1,1,2,1,1,1,3,
1/4/2020 23:08:52,Male,Indian culture,26-30,3,4,3,3,1,2,3,3,2,2,4,
1/4/2020 23:26:33,Male,Western Culture,31-35,3,4,2,2,1,2,5,4,5,3,4,if you trying to measure the racial bias then you protocol is flawed
1/4/2020 23:41:43,Female,Western Culture,16-20,1,1,3,2,1,2,3,2,4,1,1,
1/4/2020 23:57:58,Female,Western Culture,21-25,1,1,2,5,1,1,5,4,5,2,2,
1/5/2020 1:17:59,Male,Western Culture,26-30,4,3,1,2,1,2,4,4,2,2,5,
1/5/2020 1:21:59,Prefer not to say,Russian culture,21-25,2,4,1,2,1,3,4,3,3,1,2,
1/5/2020 1:54:19,Female,Arab culture,21-25,2,1,5,5,1,3,5,5,4,2,2,
1/5/2020 3:23:38,Female,Hispanic / Latino culture,26-30,2,1,2,3,3,2,4,3,3,1,1,I have a very unromantic sense of romanticism. Good luck with the study!
1/5/2020 7:21:36,Female,Hispanic / Latino culture,26-30,1,5,3,1,1,2,5,4,3,4,1,
1/5/2020 11:44:03,Female,Western Culture,16-20,4,3,5,4,1,4,3,3,4,3,3,
1/5/2020 12:06:43,Female,Western Culture,21-25,4,1,5,5,1,5,4,5,3,2,3,
1/5/2020 12:30:44,Female,Western Culture,21-25,2,1,4,3,1,2,5,4,3,1,3,Consent is romantic ;)
1/5/2020 13:43:30,Male,Western Culture,21-25,1,1,2,2,1,1,3,2,3,1,1,"Most of these situations are not even credible, hence no hint of romance"
1/5/2020 13:43:57,Female,Western Culture,21-25,2,3,2,2,1,1,3,2,2,1,2,"Maybe there could be a bias if you have already seen the movie or not... (because if you've seen it you know the characters, their feelings, and then you can appreciate much more the ending or kissing scene, and so its romantic potential)"
1/5/2020 14:16:03,Female,Western Culture,21-25,3,4,5,5,1,2,5,5,3,4,2,
1/5/2020 17:54:14,Female,Hispanic / Latino culture,21-25,1,1,4,4,1,1,5,4,5,1,1,
1/5/2020 18:42:56,Female,Western Culture,21-25,1,3,2,2,1,2,3,3,3,2,1,you could have specified/asked at begining what you meant/we mean by 'romantic'. 
1/5/2020 18:56:42,Female,Hispanic / Latino culture,26-30,3,1,3,4,1,4,3,3,4,2,2,
1/5/2020 19:10:00,Male,Western Culture,21-25,4,3,4,3,1,2,2,3,3,2,4,
1/5/2020 20:17:32,Female,Western Culture,16-20,2,1,2,2,1,2,2,2,2,1,2,
1/5/2020 21:46:22,Female,Western Culture,26-30,3,3,3,3,2,4,3,4,4,4,4,
1/5/2020 23:06:31,Prefer not to say,Western Culture,16-20,1,1,1,1,1,1,1,1,2,1,1,
1/5/2020 23:07:20,Other,Western Culture,16-20,2,1,2,3,1,1,4,1,3,1,1,
1/5/2020 23:08:06,Female,Western Culture,16-20,3,1,3,3,1,1,5,2,3,1,3,It may be because the scenes are cut but i feel less romance in some scenes because there was not the rest of the movie.
1/5/2020 23:36:12,Female,Western Culture,36-40,5,2,4,5,1,3,4,4,4,2,5,
1/5/2020 23:39:26,Male,Western Culture,21-25,1,2,5,4,1,3,3,4,3,1,1,
1/6/2020 1:33:24,Female,Western Culture,16-20,4,2,2,4,1,3,5,5,5,2,2,
1/6/2020 10:42:16,Female,Western Culture,21-25,1,1,3,2,1,2,5,3,4,1,2,"One thing: I can find something romantic because I was raised in a specific cultural environment but also know that it's problematic (e.g did not see the problem with James Bond as a kid, see the problem now as an adult)
I don't know if it can bias your analysis..."
1/6/2020 10:51:20,Male,Western Culture,26-30,3,2,5,3,1,2,5,4,5,1,3,"Some situations are difficult to assess without the full context. On the other hand, maybe it is your choice but I think that evaluating videos with LGBTQ situations or videos where it is the woman who takes the initiative (it has to be!!!) could be interesting! Curious to see the results by the way !"
